node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,prune_reason,timestamp_order
"((0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (3, 2))","((0, 0), (1, 0), (1, 1), (2, 1), (3, 1))",0,2,2,5,,,goal,,False,,51
"((0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (3, 0))","((0, 0), (1, 0), (1, 1), (2, 1), (3, 1))",0,2,2,5,,,goal,,False,,52
"((0, 0), (1, 0), (1, 1), (2, 1), (3, 1))","((0, 0), (1, 0), (1, 1), (2, 1))",0,2,2,4,3,0,expanded,False,,,53
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2))","((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))",0,2,2,5,,,goal,,False,,54
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2))","((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))",0,2,2,5,,,goal,,False,,55
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3))","((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))",0,2,2,5,,,goal,,False,,56
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))","((0, 0), (1, 0), (1, 1), (2, 1))",0,2,2,4,3,0,expanded,False,,,57
"((0, 0), (1, 0), (1, 1), (2, 1))","((0, 0), (1, 0), (1, 1))",0,2,2,3,3,0,expanded,False,,,58
"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2))","((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))",0,2,2,5,,,goal,,False,,59
"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (2, 3))","((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))",0,2,2,5,,,goal,,False,,60
"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (2, 1))","((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))",0,2,2,5,,,goal,,False,,61
"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))","((0, 0), (1, 0), (1, 1), (1, 2))",0,2,2,4,3,0,expanded,False,,,62
