node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 4), (1, 5), (4, 1), (5, 3)), (1, 6))","(((1, 4), (1, 5), (4, 2), (5, 3)), (1, 6))",8,2,10.0,8,,,pruned,,,63
"(((1, 4), (1, 5), (4, 2), (5, 3)), (1, 6))","(((1, 4), (1, 5), (4, 2), (4, 3)), (1, 6))",7,3.0,10.0,7,2,1,expanded,False,True,64
"(((1, 4), (1, 5), (4, 4), (5, 3)), (1, 6))","(((1, 4), (1, 5), (4, 3), (5, 3)), (1, 6))",9,3,12.0,9,,,pruned,,,65
"(((1, 4), (1, 5), (4, 3), (5, 3)), (1, 6))","(((1, 4), (2, 5), (4, 3), (5, 3)), (2, 3))",8,2.0,10.0,8,2,1,expanded,False,True,66
"(((1, 4), (1, 5), (5, 2), (5, 3)), (1, 6))","(((1, 4), (1, 5), (4, 3), (5, 2)), (1, 6))",8,2.0,10.0,8,1,0,expanded,False,True,67
"(((2, 4), (2, 5), (3, 5), (4, 3)), (2, 3))","(((2, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",6,7,13.0,6,,,pruned,,,68
"(((2, 4), (2, 5), (3, 4), (4, 4)), (2, 3))","(((2, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",6,7,13.0,6,,,pruned,,,69
"(((2, 4), (2, 5), (3, 4), (4, 3)), (2, 3))","(((2, 4), (2, 5), (3, 3), (4, 3)), (3, 2))",5,6.0,11.0,5,4,2,expanded,False,True,70
"(((1, 4), (2, 6), (3, 4), (4, 3)), (1, 5))","(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",7,5,12.0,7,,,pruned,,,71
"(((1, 4), (2, 5), (4, 3), (4, 4)), (2, 3))","(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",7,5,12.0,7,,,pruned,,,72
"(((1, 4), (2, 5), (3, 5), (4, 3)), (2, 3))","(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",7,6,13.0,7,,,pruned,,,73
"(((1, 4), (2, 5), (3, 4), (4, 4)), (2, 3))","(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",7,6,13.0,7,,,pruned,,,74
"(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))","(((1, 4), (2, 5), (3, 3), (4, 3)), (3, 2))",6,5.0,11.0,6,6,4,expanded,False,True,75
"(((1, 5), (2, 4), (3, 5), (4, 3)), (2, 3))","(((1, 5), (2, 4), (3, 4), (4, 3)), (2, 3))",7,6,13.0,7,,,pruned,,,76
"(((1, 5), (2, 4), (3, 4), (4, 4)), (2, 3))","(((1, 5), (2, 4), (3, 4), (4, 3)), (2, 3))",7,6,13.0,7,,,pruned,,,77
"(((1, 5), (2, 4), (3, 4), (4, 3)), (2, 3))","(((1, 5), (2, 4), (3, 3), (4, 3)), (3, 2))",6,5.0,11.0,6,5,2,expanded,False,True,78
"(((2, 4), (2, 5), (3, 5), (5, 3)), (2, 3))","(((2, 4), (2, 5), (3, 4), (5, 3)), (2, 3))",7,6,13.0,7,,,pruned,,,79
"(((2, 4), (2, 5), (3, 4), (5, 3)), (2, 3))","(((2, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",6,5.0,11.0,6,1,1,expanded,True,True,80
"(((1, 4), (1, 5), (4, 3), (4, 4)), (1, 6))","(((1, 4), (1, 5), (3, 4), (4, 3)), (1, 6))",8,4,12.0,8,,,pruned,,,81
"(((1, 4), (1, 5), (3, 5), (4, 3)), (1, 6))","(((1, 4), (1, 5), (3, 4), (4, 3)), (1, 6))",8,5,13.0,8,,,pruned,,,82
"(((1, 4), (1, 5), (3, 4), (4, 4)), (1, 6))","(((1, 4), (1, 5), (3, 4), (4, 3)), (1, 6))",8,5,13.0,8,,,pruned,,,83
"(((1, 4), (1, 5), (3, 4), (4, 3)), (1, 6))","(((1, 4), (1, 5), (3, 3), (4, 3)), (3, 2))",7,4.0,11.0,7,6,3,expanded,False,True,84
"(((1, 4), (2, 4), (3, 5), (4, 3)), (2, 3))","(((1, 4), (2, 4), (3, 4), (4, 3)), (2, 3))",8,5,13.0,8,,,pruned,,,85
"(((1, 4), (2, 4), (3, 4), (4, 4)), (2, 3))","(((1, 4), (2, 4), (3, 4), (4, 3)), (2, 3))",8,5,13.0,8,,,pruned,,,86
"(((1, 4), (2, 4), (3, 4), (4, 3)), (2, 3))","(((1, 4), (2, 4), (3, 3), (4, 3)), (3, 2))",7,4.0,11.0,7,5,2,expanded,False,True,87
"(((1, 4), (2, 6), (3, 4), (5, 3)), (1, 5))","(((1, 4), (2, 5), (3, 4), (5, 3)), (2, 3))",8,4,12.0,8,,,pruned,,,88
"(((1, 4), (2, 5), (4, 4), (5, 3)), (2, 3))","(((1, 4), (2, 5), (3, 4), (5, 3)), (2, 3))",8,4,12.0,8,,,pruned,,,89
"(((1, 4), (2, 5), (3, 5), (5, 3)), (2, 3))","(((1, 4), (2, 5), (3, 4), (5, 3)), (2, 3))",8,5,13.0,8,,,pruned,,,90
"(((1, 4), (2, 5), (3, 4), (5, 3)), (2, 3))","(((1, 4), (2, 5), (3, 4), (4, 3)), (2, 3))",7,4.0,11.0,7,4,3,expanded,False,True,91
"(((1, 5), (2, 4), (3, 5), (5, 3)), (2, 3))","(((1, 5), (2, 4), (3, 4), (5, 3)), (2, 3))",8,5,13.0,8,,,pruned,,,92
"(((1, 5), (2, 4), (3, 4), (5, 3)), (2, 3))","(((1, 5), (2, 4), (3, 4), (4, 3)), (2, 3))",7,4.0,11.0,7,2,1,expanded,False,True,93
"(((1, 4), (1, 5), (4, 4), (5, 3)), (1, 6))","(((1, 4), (1, 5), (3, 4), (5, 3)), (1, 6))",9,3,12.0,9,,,pruned,,,94
"(((1, 4), (1, 5), (3, 5), (5, 3)), (1, 6))","(((1, 4), (1, 5), (3, 4), (5, 3)), (1, 6))",9,4,13.0,9,,,pruned,,,95
"(((1, 4), (1, 5), (3, 4), (5, 3)), (1, 6))","(((1, 4), (1, 5), (3, 4), (4, 3)), (1, 6))",8,3.0,11.0,8,4,2,expanded,False,True,96
"(((1, 4), (2, 4), (3, 5), (5, 3)), (2, 3))","(((1, 4), (2, 4), (3, 4), (5, 3)), (2, 3))",9,4,13.0,9,,,pruned,,,97
"(((1, 4), (2, 4), (3, 4), (5, 3)), (2, 3))","(((1, 4), (2, 4), (3, 4), (4, 3)), (2, 3))",8,3.0,11.0,8,2,1,expanded,False,True,98
"(((1, 4), (2, 4), (2, 5), (5, 3)), (2, 3))","(((1, 4), (2, 5), (3, 4), (5, 3)), (2, 3))",8,3.0,11.0,8,1,0,expanded,False,True,99
"(((1, 4), (1, 5), (2, 3), (5, 3)), (1, 6))","(((1, 4), (1, 5), (2, 4), (5, 3)), (1, 6))",10,3,13.0,10,,,pruned,,,100
"(((1, 4), (1, 5), (2, 4), (5, 3)), (1, 6))","(((1, 4), (1, 5), (3, 4), (5, 3)), (1, 6))",9,2.0,11.0,9,2,1,expanded,False,True,101
"(((1, 4), (2, 6), (4, 3), (6, 2)), (1, 5))","(((1, 4), (2, 5), (4, 3), (6, 2)), (2, 3))",8,5,13.0,8,,,pruned,,,102
"(((1, 4), (2, 5), (4, 4), (6, 2)), (2, 3))","(((1, 4), (2, 5), (4, 3), (6, 2)), (2, 3))",8,6,14.0,8,,,pruned,,,103
"(((1, 4), (2, 5), (4, 3), (6, 2)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,5.0,12.0,7,7,2,expanded,False,True,104
"(((1, 4), (2, 5), (4, 1), (5, 2)), (2, 3))","(((1, 4), (2, 5), (4, 2), (5, 2)), (2, 3))",8,4,12.0,8,,,pruned,,,105
"(((1, 4), (2, 6), (4, 2), (5, 2)), (1, 5))","(((1, 4), (2, 5), (4, 2), (5, 2)), (2, 3))",8,5,13.0,8,,,pruned,,,106
"(((1, 4), (2, 5), (4, 2), (5, 2)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,5.0,12.0,7,4,2,expanded,False,True,107
"(((1, 4), (1, 5), (4, 1), (5, 2)), (1, 6))","(((1, 4), (1, 5), (4, 2), (5, 2)), (1, 6))",9,3,12.0,9,,,pruned,,,108
"(((1, 4), (1, 5), (4, 2), (5, 2)), (1, 6))","(((1, 4), (1, 5), (4, 3), (5, 2)), (1, 6))",8,4.0,12.0,8,2,1,expanded,False,True,109
"(((1, 4), (1, 5), (4, 4), (6, 2)), (1, 6))","(((1, 4), (1, 5), (4, 3), (6, 2)), (1, 6))",9,5,14.0,9,,,pruned,,,110
"(((1, 4), (1, 5), (4, 3), (6, 2)), (1, 6))","(((1, 4), (1, 5), (4, 3), (5, 2)), (1, 6))",8,4.0,12.0,8,5,1,expanded,False,True,111
"(((1, 4), (2, 6), (5, 3), (6, 2)), (1, 5))","(((1, 4), (2, 5), (5, 3), (6, 2)), (2, 3))",9,4,13.0,9,,,pruned,,,112
